,Place_name,City,State,Walk Score,Transit Score,Bike Score,Population_2021,Population_2022_Census,City_Population_Stats_adjusted_land_area__acres_,City_Population_Stats_density__people_acre_,City_Population_Stats_density_classification,City_Population_Stats_2000_population,City_Population_Stats_population_growth,City_Population_Stats_population_growth_classification,Parkland_Stats_by_City_total_acres,Parkland_Stats_by_City__natural,Parkland_Stats_by_City__designed,Parkland_Stats_by_City_total_park_units,Parkland_Stats_by_City_parks_as__city_area,Walkable_Park_Access_all_residents,Walkable_Park_Access_black,Walkable_Park_Access_hispanic_latinx,Walkable_Park_Access_asian,Walkable_Park_Access_other_race,Walkable_Park_Access_multiple_races,Walkable_Park_Access_pacific_islander,Walkable_Park_Access_american_indian_alaska_native,Walkable_Park_Access_all_people_of_color,Walkable_Park_Access_white,Walkable_Park_Access_low__75_city_income_,Walkable_Park_Access_middle,Walkable_Park_Access_high__125_city_median_income_,Walkable_Park_Access_children__u19_,Walkable_Park_Access_adults__19_64_,Walkable_Park_Access_seniors__65_,Distribution_of_Park_Space_low_income,Distribution_of_Park_Space_high_income,Distribution_of_Park_Space_black,Distribution_of_Park_Space_hispanic_latnix,Distribution_of_Park_Space_asian,Distribution_of_Park_Space_other_race,Distribution_of_Park_Space_multiple_races,Distribution_of_Park_Space_pacific_islander,Distribution_of_Park_Space_american_indian_alaska_native,Distribution_of_Park_Space_white,Distribution_of_Park_Space_neighborhoods_of_color,Number_of_Fields_and_Diamonds,Number_of_Courts,Number_of_Tennis_courts,Number_of_Pickleball_courts,Number_of_Pickleball_courts_overlay_tennis,Number_of_Standalone_Pickleball,Number_of_Volleyball_nets,Number_of_basketball_hoops_at_park_sites,Number_of_basketball_hoops_at_community_schoolyards,Number_of_Beaches,Number_of_Community_Garden_Sites,Number_of_Community_Garden_Plots,Number_of_Cooling_Centers,Number_of_Dog_Parks,Number_of_Drinking_fountains,Number_of_Playgrounds,Number_of_Rec_Centers,Number_of_senior_centers,Number_of_Restrooms_Freestanding_permanent,Number_of_Restrooms_In_park_buildings,Number_of_Restrooms_Semi_permanent,Number_of_Skate_parks,Number_of_Splashpads,Number_of_Swimming_pools,Number_of_Disc_Golf_Courses,Trail_Miles_Improved_Trails,Trail_Miles_Nature_trails,Number_of_Tracks_At_Park_Sites,Number_of_Tracks_At_community_schoolyards,Number_of_Exercise_Zones,Miles_of_car_free_roadways_in_parks,Permanent_car_free_roadways
22,"Buffalo, NY",Buffalo,NY,66.6,47.5,62.8,261310,279145.0,25304.0,11.031655074296554,High,292648.0,-0.04614075613023154,Limited or Decline,2383,0.21233738984473352,0.7876626101552665,216,0.09417483401833703,0.9077857398781799,0.9117411857595481,0.9294594294594295,0.9508437270726339,0.9121851599727706,0.8944066910611604,0.9090909090909091,0.9508437270726339,0.9192036717630895,0.889714523666312,0.9059200855271949,0.8977284354855213,0.8862454655380895,0.9207670883137983,0.9054786489429163,0.8959006673332248,0.1429235634416539,0.466172126124879,-0.0846890609065416,0.010276641143702081,-0.20026943930768737,nan,0.00878757629041993,nan,nan,1.065973693002893,-0.06000113911766314,101,130,48.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,178.0,0.0,3.0,2.0,77.0,0.0,28.0,56.0,1.0,2.0,1.0,11.0,9.0,0.0,1.3,5.0,0.0,0.0,3.0,0.0,0.0
23,"Phoenix, AZ",Phoenix,AZ,41.4,35.6,55.9,1445632,1647147.0,328457.0,5.014802546452047,Medium-Low,1320994.0,0.24689968311741006,Medium Fast,51019.93,0.7657582046858943,0.2342417953141057,234,0.1553321439336047,0.4926602976299835,0.5338475007295619,0.5213307781032018,0.43578536644384624,0.4815936626281454,0.47950657271333325,0.44893040072310936,0.43578536644384624,0.5140924287694634,0.46234309623430964,0.5255238587991816,0.4936039995018414,0.46311084979384054,0.4977337640850589,0.4914401211272435,0.48705634811239423,-0.26422622898078807,0.7555076627316999,-0.09508904032182608,-0.29321454327725716,0.26423346362600797,nan,-0.04862232193600302,nan,nan,0.569085108278677,-0.18682448517854278,217,,123.0,62.0,0.0,62.0,112.0,454.0,0.0,0.0,6.0,89.0,14.0,12.0,430.0,162.0,11.0,32.0,158.0,0.0,3.0,8.0,11.0,29.0,4.0,212.0,242.0,54.0,0.0,280.0,10.0,0.0
24,"Tucson, AZ",Tucson,AZ,43.2,34.5,66.3,520116,548705.0,153087.0,3.5842690757543094,Low,486591.0,0.1276513540118909,Medium Slow,6195,0.43857949959644876,0.5614205004035513,162,0.040467185325991105,0.6367037961835907,0.6187133656559809,0.6502913768097062,0.6485693323550991,0.6559546313799622,0.6292533540734979,0.6159368269921034,0.6485693323550991,0.6466090565670649,0.6237423607306518,0.6874771766915332,0.6435296339259219,0.6035951447855432,0.639812993951987,0.6367081050817994,0.6317978955218663,-0.09004555515442914,0.425380231318089,-0.10231068769389173,0.9617993929128741,-0.18099382745374992,nan,-0.4295826597181728,nan,nan,-0.08831070284131382,0.945008778959612,179,206,57.0,12.0,0.0,12.0,28.0,165.0,71.0,0.0,6.0,121.0,6.0,10.0,567.0,145.0,5.0,22.0,100.0,0.0,10.0,4.0,6.0,28.0,4.0,31.6,3.2,25.0,11.0,31.0,1.6,0.0
25,"Mesa, AZ",Mesa,AZ,37.9,27.0,59.6,439041,513977.0,86979.0,5.909207969739822,Medium-Low,397215.0,0.2939516382815352,Medium Fast,2469.87,0.16478600088263756,0.8352139991173625,225,0.028396164591453107,0.6547816310781536,0.6431560071727436,0.739710232115105,0.5967766343825666,0.6937901498929336,0.641346568839016,0.7092846270928462,0.5967766343825666,0.7088143413274379,0.6176268339934277,0.6389347676747007,0.6385447702681512,0.6294667088836621,0.6822850762932638,0.6741272775283866,0.5551035462839414,-0.2516931932541101,0.09483936796166303,-0.2978197890262464,0.12534359707708198,-0.21146467388020274,nan,-0.15860194428137975,nan,nan,-0.04328659209316976,-0.1325797873520681,109,164,19.0,21.0,12.0,9.0,38.0,127.0,0.0,0.0,1.0,0.0,0.0,3.0,87.0,72.0,1.0,6.0,43.0,0.0,2.0,2.0,4.0,9.0,3.0,67.68,4.0,6.0,0.0,10.0,0.0,0.0
26,"Chandler, AZ",Chandler,AZ,35.4,24.4,55.4,236123,284103.0,41502.0,6.845525516842562,Medium-Low,176338.0,0.6111274937903345,Very Fast,1518.29,0.13279413023862371,0.8672058697613764,69,0.03658353814274011,0.6231006856367883,0.6353892440767206,0.6860534403813586,0.5747974141855595,0.6288175411119812,0.629976580796253,0.6385542168674698,0.5747974141855595,0.6446956191921107,0.6036731470892556,0.6206655806376542,0.618554893019993,0.6056529856456402,0.6380265634527187,0.6305102058787271,0.5506027388941184,-0.06092562509104671,-0.0012646736538962644,0.009170585581653068,0.10836029714183093,-0.1142565057356455,nan,-0.05962736270912994,nan,nan,-0.0729808552979,-0.004096665783735909,61,34,25.0,14.0,0.0,14.0,35.0,90.0,0.0,0.0,2.0,0.0,0.0,4.0,97.0,97.0,1.0,7.0,28.0,0.0,0.0,1.0,3.0,6.0,2.0,46.0,0.0,0.0,0.0,4.0,0.0,0.0
27,"Glendale, AZ",Glendale,AZ,40.2,33.5,56.5,226721,251644.0,42079.0,5.9802751966539125,Medium-Low,218596.0,0.15118300426357298,Medium Slow,2100,0.5642857142857143,0.4357142857142857,72,0.04990612894793127,0.7422134727970621,0.6996549037070021,0.7598796349058773,0.7170710571923743,0.7611940298507462,0.7282765737874097,0.7093690248565966,0.7170710571923743,0.74614386522436,0.737063579566336,0.7352879830755937,0.7323515382780825,0.7392958081301672,0.7421714485552333,0.7382605963784149,0.7593850760018425,-0.24106431961541452,0.24538055255122204,-0.34731057062047377,-0.20685110090755432,0.577125521201344,nan,-0.029907049859140278,nan,nan,0.7323223743828371,-0.31273373124702464,46,143,35.0,14.0,0.0,14.0,44.0,96.0,0.0,0.0,0.0,0.0,0.0,3.0,57.0,74.0,1.0,5.0,18.0,0.0,0.0,2.0,3.0,2.0,2.0,46.0,46.0,25.0,0.0,9.0,0.0,0.0
28,"Scottsdale, AZ",Scottsdale,AZ,31.9,23.3,56.4,217385,246001.0,117587.0,2.092076505055831,Low,202744.0,0.21335773191808388,Medium Fast,31598,0.9677827710614596,0.03221722893854041,44,0.2687201816527337,0.40003336832938613,0.4871468026343743,0.5111781984334204,0.3882792814760628,0.41488451668092385,0.4225055315562111,0.5450236966824644,0.3882792814760628,0.46582353595668136,0.38152112147388945,0.48715756909675584,0.49353650159245616,0.38210724168537563,0.3840841199665432,0.42425076209026336,0.35936763699931595,-0.1684521305678195,1.0110200312525062,nan,0.053520939594841055,-0.30480261968005307,nan,-0.0985454009311848,nan,nan,0.41332990240341294,-0.10010056711182036,73,185,51.0,21.0,1.0,20.0,32.0,75.0,6.0,0.0,0.0,0.0,4.0,3.0,0.0,37.0,0.0,9.0,76.0,0.0,0.0,2.0,4.0,4.0,1.0,45.0,230.0,0.0,1.0,4.0,0.0,0.0
29,"Gilbert, AZ",Gilbert,AZ,29.0,15.1,52.6,208453,278911.0,43915.0,6.351155641580325,Medium-Low,109936.0,1.5370306360064037,Very Fast,1284,0.589563862928349,0.4104361370716511,43,0.029238301263805076,0.4524432314969617,0.40654538062811263,0.462882751522429,0.44843954604975994,0.45604395604395603,0.4440677966101695,0.41622574955908287,0.44843954604975994,0.4507690313661108,0.4532901833872708,0.4608879492600423,0.47017490261972045,0.44813085557032867,0.4414876638806464,0.4539283391657118,0.4776031937882284,0.14060740720231601,-0.056743883375060866,-0.08602841039213627,0.07316981086987195,0.02472788786360902,nan,-0.5264544884731523,nan,nan,0.03694837790845695,0.3246460485968401,63,63,13.0,23.0,0.0,23.0,13.0,36.0,0.0,0.0,2.0,1.0,0.0,2.0,38.0,29.0,0.0,4.0,15.0,0.0,0.0,1.0,3.0,4.0,1.0,69.0,0.0,5.0,0.0,1.0,0.0,0.0
30,"New Orleans, LA",New Orleans,LA,58.0,43.9,65.7,343829,388624.0,107591.0,3.6120493349815503,Low,484674.0,-0.19817444302768458,Limited or Decline,24737.35,0.8976042300408087,0.10239576995919127,239,0.22992025355280646,0.8001837355443358,0.7488069874384212,0.8205007824726135,0.6619389754595503,0.8128517823639775,0.8397584765443568,0.7936507936507936,0.6619389754595503,0.7591510281399518,0.8892479435957696,0.8161769133497923,0.8202957251610384,0.836066661139209,0.767768900885996,0.8080022500735109,0.8184966814872092,0.3081029363081831,1.092629539192969,0.251829436422085,0.4997572355720661,0.558903506004367,nan,0.022269625737419085,nan,nan,1.396404627345099,0.04111537907325502,48,51,61.0,10.0,2.0,8.0,12.0,64.0,0.0,0.0,2.0,4.0,8.0,3.0,20.0,101.0,0.0,16.0,101.0,3.0,0.0,1.0,1.0,17.0,1.0,15.45,106.23,6.0,0.0,11.0,0.0,0.0
31,"Baton Rouge, LA",Baton Rouge,LA,39.1,,44.3,229493,227473.0,54640.0,4.163122254758418,Medium-Low,227920.0,-0.0019612144612144613,Limited or Decline,1455.1,0.09459143701463817,0.9054085629853619,92,0.026630673499267933,0.5181274183783594,0.5646824077153308,0.49604910399322705,0.3882648341482754,0.5111940298507462,0.49910204081632653,0.6153846153846154,0.3882648341482754,0.5461324764869298,0.46485991063813537,0.5535979988355293,0.504647636627332,0.4620434160925517,0.5504340852829399,0.5120617491185504,0.48809907193254676,-0.20113064420216964,0.67269183317359,0.14891201393471998,-0.4162061331374908,-0.4866606271842434,nan,-0.1748659792327094,nan,nan,-0.19732920527089326,0.08798940882946504,106,239,71.0,21.0,0.0,21.0,33.0,217.0,2.0,0.0,4.0,36.0,0.0,3.0,145.0,70.0,1.0,36.0,101.0,2.0,0.0,2.0,4.0,3.0,2.0,70.0,60.0,28.0,1.0,12.0,0.0,0.0
32,"Jacksonville, FL",Jacksonville,FL,25.6,20.8,40.5,821784,978003.0,464885.0,2.103752540950988,Low,735503.0,0.3297063370237783,Medium Fast,84324,0.8988425596508705,0.10115744034912955,424,0.1813867945836067,0.3529127611640015,0.42888038030209263,0.3226173468951299,0.24217687074829933,0.32396950875211744,0.3349347682189909,0.34394250513347024,0.24217687074829933,0.3765198675816274,0.326380184501685,0.42760965565820486,0.3404764368113393,0.3031816322110178,0.3449339955182398,0.34647228622577025,0.3897815431557763,0.304095105852801,0.17014121464146403,0.1920275863744021,-0.4525209060481279,-0.35743861053646786,nan,0.07557218468876203,nan,nan,0.36266933821485003,0.24340072684410097,464,439,178.0,36.0,0.0,36.0,17.0,625.0,128.0,10.0,8.0,5.0,0.0,6.0,8.0,236.0,6.0,66.0,259.0,4.0,112.0,5.0,19.0,35.0,4.0,83.4,189.26,21.0,0.0,9.0,0.0,0.0
33,"Miami, FL",Miami,FL,76.6,57.0,64.0,399457,455738.0,23029.0,19.789743367058925,High,362563.0,0.2569898197003004,Medium Fast,1638.58,0.39717316212818415,0.6028268378718159,37,0.07115289417690737,0.8812850701071553,0.9504773854568981,0.8558815787436322,0.9208679004467135,0.922093023255814,0.9468201754385965,0.9,0.9208679004467135,0.8718018022612412,0.941607380697138,0.8852773080463214,0.8940590604878358,0.9137966319728686,0.8792681722954074,0.8869979359539707,0.8638679015354619,-0.22922227608056167,0.4758207926149409,0.3127547306240379,-0.6862663897664478,nan,nan,0.04084396590763406,nan,nan,0.560869822989964,0.14774719383716994,138,35,48.0,0.0,0.0,0.0,20.0,164.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,79.0,0.0,42.0,143.0,0.0,1.0,0.0,7.0,16.0,1.0,4.0,2.0,0.0,0.0,36.0,1.0,1.0
34,"Tampa, FL",Tampa,FL,49.5,31.3,55.2,335709,392284.0,70143.0,5.592632194231784,Medium-Low,303512.0,0.29248266954848573,Medium Fast,5045.2,0.49789899310235475,0.5021010068976453,203,0.07192734841680566,0.6501381671203498,0.6452554929078911,0.6732086342213818,0.40476190476190477,0.5742608695652174,0.6455123582246115,0.6807692307692308,0.40476190476190477,0.6341875248311482,0.6713266967455888,0.671022241908438,0.6726608292930024,0.6664721926459649,0.6223102933427016,0.648212881968255,0.7020557442973029,-0.07946270542138512,-0.3523035877002366,-0.24946075526281697,0.2643688887995339,0.328049827956731,nan,0.18570810657381398,nan,nan,-0.3405803378438035,-0.1350040778861623,104,,52.0,35.0,12.0,23.0,21.0,178.0,8.0,0.0,1.0,12.0,0.0,16.0,154.0,91.0,0.0,35.0,108.0,0.0,0.0,3.0,10.0,14.0,3.0,201.0,3.0,0.0,0.0,17.0,0.0,0.0
35,"St. Petersburg, FL",St. Petersburg,FL,43.0,33.5,58.5,244769,259920.0,39410.0,6.595280385688912,Medium-Low,247793.0,0.04894004269692848,Limited or Decline,5342.5,0.6103883949461862,0.38961160505381376,208,0.13556204009134737,0.770636447591196,0.8742255381695723,0.7444302598525717,0.6703691604050964,0.7787096774193548,0.7774289202860631,0.7967479674796748,0.6703691604050964,0.8112934410787764,0.7447624556726441,0.7931812092524784,0.7605659433146809,0.7387334531186975,0.7913024690145548,0.7720631670145316,0.7479340302302585,0.06802695670577408,-0.13427644309537456,0.16114680287670402,-0.4888716331530486,-0.45978411308430145,nan,-0.09469195481159653,nan,nan,-0.20610518823230994,0.28046008742165696,80,165,56.0,51.0,0.0,51.0,35.0,118.0,0.0,5.0,2.0,42.0,23.0,6.0,117.0,91.0,0.0,16.0,125.0,43.0,0.0,3.0,4.0,9.0,2.0,0.0,8.2,27.0,0.0,11.0,0.0,0.0
36,"Orlando, FL",Orlando,FL,41.1,32.7,56.8,238300,321040.0,63259.0,5.0750090896157065,Medium-Low,185984.0,0.7261699931176876,Very Fast,3411,0.15156845499853416,0.8484315450014659,125,0.053921181175801074,0.6691343195380297,0.713436988306212,0.5742636918368503,0.675301157389182,0.5900924024640657,0.6596087171867261,0.6608187134502924,0.675301157389182,0.6336779627646547,0.7407317617168181,0.6456296118543404,0.6500018612962066,0.7286707675849158,0.6621242818683911,0.6657075713295773,0.6988218884654661,0.039441424370963984,0.726201481571688,0.22245702048873905,-0.834983599051779,-0.4013433482183837,nan,0.17466100872399593,nan,nan,1.035228046411838,-0.01788468909268648,67,137,31.0,10.0,0.0,10.0,15.0,142.0,14.0,0.0,24.0,780.0,0.0,3.0,254.0,60.0,8.0,19.0,117.0,0.0,15.0,1.0,1.0,11.0,3.0,49.0,0.0,3.0,2.0,18.0,0.0,0.0
37,"Hialeah, FL",Hialeah,FL,67.9,39.0,50.6,224669,225489.0,13750.0,16.3992,High,226411.0,-0.00407224030634554,Limited or Decline,238,0,1,34,0.01730909090909091,0.681507427789088,0.6156485929993136,0.6843607386580386,0.46373626373626375,0.6217228464419475,0.592496765847348,0.5,0.46373626373626375,0.6825184533863988,0.6570945945945946,0.7048412410962211,0.7058409570724842,0.638682723027771,0.6701623079935599,0.6820614081365027,0.6912082217808101,-0.3334598161198431,0.1922340666966671,nan,-0.16977870414560337,nan,nan,nan,nan,nan,0.969425348933765,-0.07361525008635983,,,24.0,0.0,0.0,0.0,6.0,96.0,24.0,0.0,0.0,0.0,0.0,0.0,52.0,24.0,0.0,18.0,52.0,0.0,0.0,1.0,3.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"Kansas City, MO",Kansas City,MO,35.3,25.5,35.0,459787,517971.0,191333.0,2.707170221550909,Low,441269.0,0.173821410522833,Medium Slow,18816,0.545812074829932,0.454187925170068,230,0.09834163474152394,0.6885824972835581,0.7604113419731184,0.7766249618553555,0.7138416529530078,0.6950884086444008,0.6745956232159848,0.6500981033355134,0.7138416529530078,0.7496351937436235,0.6339595596527864,0.7616691785160431,0.7211913937878053,0.6364078982959156,0.673614187300472,0.6951038837915575,0.6876498877031811,0.23233527973189605,-0.2609841452322831,0.26468833592278695,0.18127851289150199,0.13680483444967395,nan,0.08046563398364004,nan,nan,-0.2708932432311646,0.250087013106284,196,26,95.0,24.0,0.0,24.0,20.0,131.0,6.0,1.0,8.0,24.0,10.0,4.0,127.0,241.0,3.0,10.0,42.0,0.0,92.0,2.0,16.0,9.0,5.0,65.0,33.0,0.0,1.0,8.0,2.7,2.7
39,"St. Louis, MO",St. Louis,MO,65.7,42.6,57.7,319294,297651.0,38968.0,7.6383442824881955,Medium-High,348189.0,-0.14514530901320835,Limited or Decline,3889,0.051169966572383645,0.9488300334276164,112,0.09979983576267706,0.9722777600430115,0.970376161932065,0.9650123104833485,0.9634176083245265,0.9766304347826087,0.974591381872214,0.9775280898876404,0.9634176083245265,0.9697789779565,0.9755921228409323,0.9721980638446514,0.9721160332808635,0.9804910864446686,0.9708902553539515,0.9730203466224819,0.9711452991452991,-0.104844777175089,0.383505532658454,0.28175672602618995,-0.41269286974622976,-0.14172592809834417,nan,-0.09943486933316703,nan,nan,0.419545525576998,0.254030775791489,175,10,101.0,42.0,0.0,42.0,7.0,28.0,0.0,0.0,0.0,0.0,0.0,7.0,185.0,92.0,0.0,10.0,78.0,0.0,0.0,0.0,11.0,8.0,1.0,57.0,0.0,1.0,0.0,2.0,0.0,0.0
40,"Atlanta, GA",Atlanta,GA,47.7,43.7,41.7,420003,515426.0,85564.0,6.023865176943574,Medium-Low,416629.0,0.23713423693501892,Medium Fast,5529.7,0.27433676329638135,0.7256632367036187,395,0.06462647842550605,0.7735817913131623,0.7324861887730257,0.7728794109209142,0.7696280124275758,0.7907150879820292,0.7974082296453096,0.7966101694915254,0.7696280124275758,0.7439191666350615,0.8208813900780659,0.7550269709799662,0.7784157344548961,0.8060011075869707,0.7546545267380154,0.7849067719934231,0.7501329156668056,-0.0669959443703999,0.42982940301639694,0.038010913047783035,-0.2988977463391437,-0.5105849048230449,nan,-0.2157304349659711,nan,nan,0.6310512524943941,-0.07039489361749718,178,273,171.0,9.0,9.0,0.0,4.0,197.0,6.0,0.5,22.0,17.0,2.0,10.0,209.0,170.0,27.0,37.0,45.0,32.0,0.0,2.0,10.0,33.0,1.0,114.0,0.0,5.0,2.0,30.0,0.5,0.5
41,"Virginia Beach, VA",Virginia Beach,VA,33.1,20.7,41.7,437994,464214.0,156555.0,2.96518156558398,Low,425257.0,0.09160813343460543,Limited or Decline,25993,0.8728119108990882,0.12718808910091178,303,0.1660311072785922,0.681518453972241,0.7103869019081408,0.6738678853344412,0.6995000287339808,0.6791758646063282,0.6910151691948658,0.6568047337278107,0.6995000287339808,0.696952802771024,0.6704634938943913,0.7035892190001779,0.6886640046331576,0.6852650389448944,0.6776541211995191,0.6829149740114598,0.6820088931015738,-0.3938153968382374,0.150931162023493,-0.22937190194605261,-0.25488773017357047,-0.030551287745571143,nan,-0.2444142127903196,nan,nan,0.06055468491320393,-0.2869717775917605,130,199,39.0,57.0,12.0,45.0,59.0,172.0,156.0,38.0,0.0,0.0,0.0,5.0,30.0,245.0,7.0,7.0,52.0,0.0,15.0,5.0,1.0,7.0,3.0,110.0,44.0,14.0,5.0,4.0,9.0,9.0
42,"Norfolk, VA",Norfolk,VA,45.8,35.7,46.9,242803,239027.0,32779.0,7.292077244577321,Medium-High,234403.0,0.019726709982380772,Limited or Decline,1792,0.12723214285714285,0.8727678571428571,166,0.05466914793007718,0.7738749178963046,0.8059823959421155,0.691545264237194,0.7227953410981697,0.7613882863340564,0.7716403086561234,0.5904365904365905,0.7227953410981697,0.7770440561508244,0.7692307692307693,0.830981050138176,0.8020590108257271,0.8168180136069914,0.777290199119059,0.7633863319769157,0.8142822175988251,0.11056414605154807,-0.03584265535468456,0.6345946298623479,-0.415336115054579,-0.498545159861299,nan,0.16008234227664508,nan,nan,0.092247944293667,0.6659661095272269,136,340,133.0,11.0,0.0,11.0,0.0,421.0,0.0,7.5,4.0,12.0,0.0,13.0,0.0,165.0,0.0,24.0,16.0,0.0,0.0,2.0,3.0,5.0,2.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0
43,"Chesapeake, VA",Chesapeake,VA,21.3,13.9,34.7,222209,255227.0,216010.0,1.1815517800101847,Low,199184.0,0.281362960880392,Medium Fast,58693.14,0.9830613935461623,0.016938606453837705,87,0.27171492060552754,0.458026694254387,0.5562798902931488,0.45918146383715897,0.4123677962443341,0.47452471482889735,0.44994254039072534,0.44954128440366975,0.4123677962443341,0.5145316171212586,0.40979619101555975,0.5413049455945319,0.4927023166262965,0.4153985437454251,0.47164817749603805,0.45458460012787555,0.44938176197836166,-0.14148365677177333,0.17084789952297297,-0.002901584565244808,-0.042101198921218,0.08132298666005,nan,-0.019021423740395726,nan,nan,0.29284307411227206,-0.0669190400025429,426,381,112.0,34.0,34.0,0.0,41.0,70.0,229.0,0.04,1.0,28.0,14.0,5.0,24.0,93.0,2.0,14.0,27.0,14.0,77.0,1.0,1.0,0.0,4.0,24.0,40.5,4.0,7.0,9.0,5.16,8.5
44,"Arlington, VA",Arlington,VA,71.2,58.6,72.3,207627,246301.0,15918.0,15.47311220002513,High,189453.0,0.3000638680833769,Medium Fast,1759,0.47981807845366686,0.5201819215463331,156,0.11050383213971604,0.9903089602533393,0.9898874804158951,0.9915595377223737,0.9928087691126161,0.9910714285714286,0.9900237894252167,0.9833333333333333,0.9928087691126161,0.9913654423878283,0.989554220234768,0.9940870464312256,0.9921074367524244,0.9908953265367921,0.9864959254947614,0.992042332231174,0.9860961550642934,-0.20021477550084177,0.17528512392039097,-0.405642038473899,-0.2478662789030901,-0.4662730184517,nan,0.04040058200089591,nan,nan,0.12693102097587605,-0.24632866862464808,111,207,91.0,31.0,11.0,20.0,24.0,94.0,292.0,0.0,10.0,597.0,0.0,10.0,99.0,130.0,1.0,15.0,46.0,5.0,0.0,1.0,7.0,5.0,1.0,62.0,16.0,3.0,4.0,5.0,0.0,0.0
45,"Richmond, VA",Richmond,VA,50.9,,50.8,204214,231285.0,38351.0,6.030742353524028,Medium-Low,197790.0,0.16934627635370847,Medium Slow,2755,0.18439201451905626,0.8156079854809437,191,0.07183645798023519,0.8008388645060862,0.8106591711963952,0.647266672081878,0.8595837216526871,0.784688995215311,0.8362785862785863,0.8260869565217391,0.8595837216526871,0.7844858446943707,0.8233932209668458,0.8321972015279742,0.8217682663207955,0.8148619417228655,0.7739443084455324,0.8176150839656501,0.7720257695060845,0.11599016976779297,-0.3475302330893151,0.368915340447993,-0.4243961512010468,-0.5301575403311893,nan,0.15294823307680505,nan,nan,-0.6126710158982431,0.10690907785911796,82,217,136.0,12.0,0.0,12.0,2.0,150.0,20.0,0.0,18.0,140.0,0.0,3.0,0.0,58.0,0.0,22.0,3.0,0.0,0.0,2.0,2.0,9.0,2.0,27.0,0.0,4.0,0.0,5.0,6.0,0.0
46,"Baltimore, MD",Baltimore,MD,64.3,53.2,53.4,620961,576870.0,51319.0,11.240865956078645,High,651154.0,-0.11408054008729118,Limited or Decline,5102.4,0.5714761680777674,0.4285238319222327,322,0.09942516416921607,0.8712413461888555,0.8884291355724233,0.7973930841322848,0.911361919153759,0.8582887700534759,0.8798534118847706,0.875,0.911361919153759,0.8787608046686095,0.8505589318480539,0.8907966564312522,0.8702474253513829,0.8634944174307347,0.8636494187716355,0.8775546259674238,0.8582929723834878,-0.027916859652568515,-0.029721436602934914,-0.030871401450123126,0.03750723580489401,-0.22762875092629942,nan,0.036622345727713945,nan,nan,-0.10500726267081995,0.23127355846624797,202,,80.0,4.0,4.0,0.0,11.0,208.0,0.0,1.0,11.0,715.0,0.0,5.0,2.0,181.0,4.0,50.0,36.0,0.0,0.0,4.0,6.0,20.0,4.0,141.0,25.0,0.0,0.0,5.0,0.0,0.0
47,"Boston, MA",Boston,MA,82.8,72.4,69.4,617594,685476.0,29222.0,23.457531996441038,High,589141.0,0.16351773174842696,Medium Slow,5160.24,0.35532068275894146,0.6446793172410585,394,0.17658750256655945,0.9974243702791148,0.9992679186542033,0.9988007818279512,0.9955574719402088,0.9985840322404966,0.9976412347117065,1.0,0.9955574719402088,0.9981948697407464,0.9964720591071417,0.9979803223373105,0.9976716291540253,0.9960477054305453,0.9981213002020488,0.997264320061208,0.9971970339929423,-0.13934118029851206,0.08424139793824903,0.06984071514402501,-0.07630942002618735,-0.3277865654808514,nan,-0.3607173336649093,nan,nan,0.12573719118834492,-0.038936975837188914,157,279,118.0,20.0,16.0,4.0,0.0,309.0,0.0,0.0,9.0,52.0,16.0,12.0,159.0,192.0,0.0,36.0,63.0,0.0,1.0,5.0,86.0,28.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0
