,Place_name,City,State,Walk Score,Transit Score,Bike Score,Population_2021,Population_2022_Census,City_Population_Stats_adjusted_land_area__acres_,City_Population_Stats_density__people_acre_,City_Population_Stats_density_classification,City_Population_Stats_2000_population,City_Population_Stats_population_growth,City_Population_Stats_population_growth_classification,Parkland_Stats_by_City_total_acres,Parkland_Stats_by_City__natural,Parkland_Stats_by_City__designed,Parkland_Stats_by_City_total_park_units,Parkland_Stats_by_City_parks_as__city_area,Walkable_Park_Access_all_residents,Walkable_Park_Access_black,Walkable_Park_Access_hispanic_latinx,Walkable_Park_Access_asian,Walkable_Park_Access_other_race,Walkable_Park_Access_multiple_races,Walkable_Park_Access_pacific_islander,Walkable_Park_Access_american_indian_alaska_native,Walkable_Park_Access_all_people_of_color,Walkable_Park_Access_white,Walkable_Park_Access_low__75_city_income_,Walkable_Park_Access_middle,Walkable_Park_Access_high__125_city_median_income_,Walkable_Park_Access_children__u19_,Walkable_Park_Access_adults__19_64_,Walkable_Park_Access_seniors__65_,Distribution_of_Park_Space_low_income,Distribution_of_Park_Space_high_income,Distribution_of_Park_Space_black,Distribution_of_Park_Space_hispanic_latnix,Distribution_of_Park_Space_asian,Distribution_of_Park_Space_other_race,Distribution_of_Park_Space_multiple_races,Distribution_of_Park_Space_pacific_islander,Distribution_of_Park_Space_american_indian_alaska_native,Distribution_of_Park_Space_white,Distribution_of_Park_Space_neighborhoods_of_color,Number_of_Fields_and_Diamonds,Number_of_Courts,Number_of_Tennis_courts,Number_of_Pickleball_courts,Number_of_Pickleball_courts_overlay_tennis,Number_of_Standalone_Pickleball,Number_of_Volleyball_nets,Number_of_basketball_hoops_at_park_sites,Number_of_basketball_hoops_at_community_schoolyards,Number_of_Beaches,Number_of_Community_Garden_Sites,Number_of_Community_Garden_Plots,Number_of_Cooling_Centers,Number_of_Dog_Parks,Number_of_Drinking_fountains,Number_of_Playgrounds,Number_of_Rec_Centers,Number_of_senior_centers,Number_of_Restrooms_Freestanding_permanent,Number_of_Restrooms_In_park_buildings,Number_of_Restrooms_Semi_permanent,Number_of_Skate_parks,Number_of_Splashpads,Number_of_Swimming_pools,Number_of_Disc_Golf_Courses,Trail_Miles_Improved_Trails,Trail_Miles_Nature_trails,Number_of_Tracks_At_Park_Sites,Number_of_Tracks_At_community_schoolyards,Number_of_Exercise_Zones,Miles_of_car_free_roadways_in_parks,Permanent_car_free_roadways
48,"Columbus, OH",Columbus,OH,41.2,30.2,47.7,787033,927811.0,137266.0,6.759219325980213,Medium-Low,711644.0,0.30375721568649494,Medium Fast,14513.11,0.4100506369758102,0.5899493630241899,402,0.10572982384567191,0.7072498814929823,0.7301596225278586,0.6917873835167069,0.615747616988475,0.7151627906976744,0.7169077617047752,0.7425742574257426,0.615747616988475,0.7079697649698831,0.7065770994809073,0.7285342119890972,0.6957072749824732,0.6802518383236411,0.7063930471929146,0.7043496713553186,0.7234648862422023,-0.227764294892437,0.20590736154073208,0.13742534990518895,-0.2561632428468531,-0.3305154526204578,nan,0.07526514184384392,nan,nan,0.003499648697516955,0.050550952460669984,272,257,100.0,118.0,115.0,3.0,52.0,377.0,220.0,0.0,13.0,53.0,7.0,7.0,121.0,250.0,15.0,30.0,88.0,5.0,87.0,3.0,7.0,9.0,3.0,251.1,54.0,95.0,26.0,8.0,0.0,0.0
49,"Cleveland, OH",Cleveland,OH,57.1,43.9,52.3,396815,371562.0,46894.0,7.923444363884506,Medium-High,478393.0,-0.22331221401650944,Limited or Decline,3311,0.45816973723950466,0.5418302627604953,176,0.07060604768200622,0.828158866149534,0.8711894373627627,0.7444144916881101,0.8306225462703309,0.8069096071935636,0.8075066294961583,0.86,0.8306225462703309,0.8404084846422594,0.8020915847841842,0.8390991365465641,0.8203499307946197,0.8402370335601972,0.8252751937560805,0.8278336504484914,0.8340121339124262,0.3037876284999721,0.291201700309327,0.11706533770856398,-0.257106589200667,-0.1664522216858667,nan,-0.14088053391502475,nan,nan,0.198261392702602,-0.0033650712988745335,233,188,72.0,3.0,2.0,1.0,18.0,270.0,0.0,1.0,41.0,0.0,0.0,1.0,68.0,115.0,0.0,22.0,51.0,0.0,51.0,1.0,45.0,40.0,0.0,102.2,4.0,35.0,1.0,8.0,0.0,0.0
50,"Cincinnati, OH",Cincinnati,OH,49.1,44.1,35.6,296943,311917.0,48681.0,6.407366323617017,Medium-Low,330662.0,-0.056689308115235496,Limited or Decline,8057.1,0.30780305569001254,0.6921969443099875,284,0.16550810377765454,0.878569809977016,0.8686109053431672,0.8719674053953947,0.9121866034676313,0.8953951108584423,0.884658691062632,0.8611111111111112,0.9121866034676313,0.8726906851573486,0.8853037629926074,0.8810826821631076,0.8767446075765815,0.8777487645395887,0.8833163824644362,0.882190042426426,0.8568161605895058,-0.17522620087909158,0.09385781934388704,-0.15390060129910232,-0.12412225625217088,-0.040677822846569955,nan,0.005814988728878978,nan,nan,-0.13058438469267075,-0.18124477887105528,128,4,98.0,28.0,15.0,13.0,48.0,269.0,0.0,0.0,9.0,62.0,23.0,6.0,216.0,253.0,0.0,22.0,97.0,0.0,7.0,1.0,14.0,24.0,3.0,83.9,61.9,17.0,5.0,11.0,2.0,0.5
51,"Toledo, OH",Toledo,OH,46.4,,45.6,287208,268744.0,51038.0,5.265566832556135,Medium-Low,313587.0,-0.1430001881455545,Limited or Decline,2995,0.4370617696160267,0.5629382303839733,135,0.058681766526901526,0.8227522524206512,0.8861820718337479,0.8569338183034407,0.8235858101629914,0.8312146892655368,0.8227038318428096,0.9166666666666666,0.8235858101629914,0.8698603987185233,0.7841045908129324,0.8504984716200827,0.7983943638895715,0.7834152959131762,0.8418442568020372,0.8226668712990318,0.7939129247986898,0.627736195363334,-0.059715092649508694,0.2958101364980219,0.598194782458064,nan,nan,0.4055849517709851,nan,nan,-0.46438968925201063,0.3873814629409009,77,119,66.0,4.0,4.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,128.0,0.0,6.0,20.0,0.0,0.0,1.0,2.0,6.0,1.0,68.0,8.0,0.0,0.0,4.0,0.0,0.0
52,"Houston, TX",Houston,TX,47.5,36.2,48.6,2099451,2355890.0,351870.0,6.695342029726888,Medium-Low,1954848.0,0.20515252336754572,Medium Fast,43485.71,0.6925521050478423,0.30744789495215785,666,0.12358459090004831,0.610272984074901,0.5696523303802566,0.5974086312678965,0.5964150611151928,0.6004269854824936,0.6424894624939386,0.6350606394707828,0.5964150611151928,0.5909385896217275,0.6744942306521342,0.5914661629928527,0.5987776138562643,0.646237036074392,0.596123760944443,0.611797527146297,0.6324707112473563,-0.19014282816314998,0.21550793360563492,0.07105948169488396,-0.1345731332656921,-0.02179132306598408,nan,-0.03347336026813108,nan,nan,-0.07205954842482842,0.028652111421118898,405,693,205.0,17.0,0.0,17.0,29.0,504.0,253.0,2.0,14.0,147.0,0.0,28.0,623.0,495.0,1.0,78.0,191.0,1.0,126.0,8.0,36.0,39.0,5.0,145.95,58.95,141.0,156.0,75.0,0.0,0.0
53,"San Antonio, TX",San Antonio,TX,36.9,30.9,44.5,1327407,1453138.0,316297.0,4.594219989440305,Medium-Low,1144554.0,0.2696106955198269,Medium Fast,32001,0.6513546451673385,0.34864535483266146,356,0.10117389668570995,0.5137289192364352,0.4739298053425466,0.552230627056947,0.3690071806337877,0.4719040801717967,0.43552032878320857,0.4245343609505459,0.3690071806337877,0.5337993681165395,0.44511211497975217,0.5716277448588358,0.5147391881039819,0.4368426517927341,0.5189526711416913,0.5073336987091992,0.5307566926800356,0.18665009480457107,-0.03937369674614988,0.17186951786626303,-0.14902259231603876,0.01646966633428293,nan,0.0018771557980099551,nan,nan,0.20562299971827103,0.1035811455024469,319,247,124.0,34.0,26.0,8.0,29.0,318.0,293.0,0.0,59.0,354.0,68.0,18.0,276.0,444.0,8.0,96.0,142.0,230.0,152.0,16.0,11.0,28.0,3.0,441.0,82.7,33.0,0.0,48.0,0.0,0.0
54,"Dallas, TX",Dallas,TX,46.0,38.9,49.3,1197816,1320535.0,215178.0,6.136942438353363,Medium-Low,1188204.0,0.1113706063941882,Medium Slow,20835,0.5102471802255819,0.48975281977441804,410,0.09682681315004323,0.7335253841015364,0.7026757155267388,0.7418573016225828,0.6745845651952289,0.7190857589372924,0.7352479313885366,0.6804347826086956,0.6745845651952289,0.7256727855529811,0.7541109722088662,0.7189032566170123,0.7255639331810003,0.7626951584923514,0.727414051151727,0.7355781595026738,0.7371632296061352,0.1875235366880279,0.196256751465119,0.5259200926055969,-0.07389343564825146,-0.16723655894097744,nan,0.08287100829501304,nan,nan,0.186051947663171,0.6252018718547081,288,413,256.0,59.0,28.0,31.0,66.0,526.0,106.0,0.0,1.0,0.0,15.0,9.0,310.0,263.0,0.0,42.0,20.0,0.0,142.0,1.0,17.0,19.0,2.0,177.0,29.5,108.0,0.0,12.0,0.0,0.0
55,"Austin, TX",Austin,TX,41.7,34.8,54.0,790390,1003496.0,172115.0,5.830380850013072,Medium-Low,656302.0,0.5290156056205833,Very Fast,19069.37,0.7841585747195634,0.21584142528043665,336,0.11079435261307846,0.6999757896639838,0.6805497386259637,0.7036569052492465,0.6734171868400056,0.7145495587933511,0.7002395528347085,0.693359375,0.6734171868400056,0.6953887293255422,0.70524105592062,0.7127806534294227,0.6909744478129061,0.6968799185260623,0.695856584208445,0.7045794754775795,0.6814274191961914,-0.3921651288357235,0.33870904008076197,0.11224304964958898,-0.3274044938759447,-0.3539883612898578,nan,-0.11811057662950453,nan,nan,0.409124522921275,-0.15603021947822993,172,269,86.0,47.0,26.0,21.0,45.0,202.0,33.0,0.04,30.0,781.0,27.0,16.0,292.0,200.0,0.0,25.0,97.0,1.0,17.0,4.0,17.0,34.0,6.0,160.5,119.06,7.0,15.0,26.0,0.0,0.0
56,"Fort Worth, TX",Fort Worth,TX,34.9,21.6,38.6,741206,966549.0,219834.0,4.396722072108955,Medium-Low,535420.0,0.8052164655784244,Very Fast,13156.34,0.373581862432865,0.6264181375671349,297,0.05984670251189534,0.6159778637506252,0.5905127044464199,0.6487100282532425,0.5975152273002299,0.5906401291016675,0.593959530651341,0.5598086124401914,0.5975152273002299,0.6231691144289085,0.6031104244831899,0.6261476215350019,0.6140109389243391,0.594673994594448,0.6141399585168189,0.6165892446721009,0.6176359694598925,0.12192450804504906,0.3021492577070859,0.046163014694575955,0.11109865000985097,-0.07248419310704246,nan,-0.07664337088704465,nan,nan,0.48303094339472596,0.22363279813453207,161,,64.0,25.0,6.0,19.0,23.0,204.0,7.0,0.0,0.0,0.0,20.0,4.0,137.0,210.0,0.0,22.0,15.0,0.0,1.0,4.0,1.0,3.0,4.0,210.0,30.0,0.0,0.0,19.0,0.0,0.0
57,"El Paso, TX",El Paso,TX,40.4,28.0,42.0,649121,687301.0,162503.0,4.229466532925546,Medium-Low,564280.0,0.2180141064719643,Medium Fast,30011.89,0.9061738530962229,0.09382614690377714,325,0.18468514427425956,0.6164482882090491,0.5972430326640695,0.6255682249682661,0.5540263876251137,0.6049129989764586,0.5803090611098104,0.5670955882352942,0.5540263876251137,0.622708991258662,0.5687171014715487,0.6590036867867074,0.6108136067668716,0.5953408306728647,0.6164091301278531,0.6126489497276014,0.6316149209834097,0.21733019653887298,-0.08735814944006437,-0.2915930278495642,0.49735728360474596,nan,nan,nan,nan,nan,0.39689808274956007,0.615980287980928,132,153,46.0,24.0,0.0,24.0,37.0,253.0,61.0,0.0,3.0,123.0,0.0,5.0,42.0,290.0,1.0,42.0,45.0,0.0,0.0,12.0,10.0,13.0,0.0,48.5,129.0,0.0,0.0,0.0,0.0,0.0
58,"Arlington, TX",Arlington,TX,38.1,0.3,39.5,365438,399679.0,60824.0,6.571073918190188,Medium-Low,332695.0,0.20133756143013873,Medium Fast,4321,0.34098588289747744,0.6590141171025226,100,0.07104103643298698,0.6023882637342755,0.5892175572519084,0.6190969628326546,0.6325814210492101,0.6079578700994733,0.6,0.6164705882352941,0.6325814210492101,0.6091027584922725,0.5892537889184798,0.6038303260525483,0.5911824469941093,0.5927626248987308,0.6060744964658642,0.6033381610235257,0.5892387355409864,-0.33114921029204825,0.5725709479107679,-0.03144829877243904,-0.5118062040485434,0.046347612337664934,nan,0.006462393252737009,nan,nan,0.5779231718457789,-0.48793550743666536,98,78,41.0,39.0,18.0,21.0,20.0,108.0,0.0,0.0,1.0,78.0,0.0,2.0,106.0,62.0,7.0,7.0,49.0,0.0,1.0,4.0,6.0,5.0,1.0,68.0,44.7,66.0,0.0,76.0,0.0,0.0
59,"Corpus Christi, TX",Corpus Christi,TX,40.3,26.6,42.1,305215,320242.0,102323.0,3.1297166814890103,Low,277569.0,0.15373834974366735,Medium Slow,7077,0.698459799350007,0.30154020064999293,200,0.06916333571142363,0.7483132772770756,0.7254886059524775,0.7721915651416256,0.6945701357466063,0.7357512953367875,0.7057260920897285,0.6754716981132075,0.6945701357466063,0.7646925557717423,0.7084601273335491,0.7696796755991332,0.7614851123741982,0.7403773727026213,0.7319386094854173,0.7461703806491987,0.7819547416713448,-0.16540664665534888,0.294613656566975,-0.23284261262046058,-0.3579502308884338,-0.3181436481273532,nan,0.19016221476017403,nan,nan,0.39400504903508393,-0.3118830711927716,73,,40.0,13.0,3.0,10.0,6.0,89.0,0.0,15.5,5.0,120.0,4.0,2.0,44.0,144.0,0.0,12.0,42.0,0.0,1.0,3.0,5.0,6.0,4.0,0.0,18.31,5.0,0.0,5.0,0.0,0.0
60,"Plano, TX",Plano,TX,40.5,14.8,52.0,259841,291554.0,45886.0,6.353876999520551,Medium-Low,222301.0,0.3115280633015596,Medium Fast,4588.3,0.4681472440773271,0.5318527559226729,88,0.0999934620581441,0.8005393249139869,0.7900441431499291,0.8099601593625498,0.7916780178655922,0.8005598320503848,0.8080272324255858,0.8333333333333334,0.7916780178655922,0.7984886011642712,0.8030297312189121,0.7841888506771961,0.7830993058417065,0.8001165912945166,0.8070160608622147,0.8043600689321154,0.7734328286814475,-0.42038928117427354,-0.11903653632379052,-0.08437547611033691,-0.10163076484936073,-0.10580734493809019,nan,0.1504115016296561,nan,nan,-0.22915709382560834,-0.11159061398674441,168,61,117.0,44.0,32.0,12.0,12.0,102.0,59.0,0.0,1.0,50.0,0.0,3.0,171.0,141.0,5.0,5.0,46.0,0.0,0.0,1.0,3.0,21.0,1.0,99.0,15.0,35.0,11.0,1.0,0.0,0.0
61,"Laredo, TX",Laredo,TX,36.8,,39.6,236091,258654.0,66883.0,3.867260738902262,Low,176807.0,0.4629171921926168,Medium Fast,2432,0.44243421052631576,0.5575657894736842,91,0.03636200529282478,0.5243349007232906,0.39238845144356954,0.5269520420323269,0.33360193392425463,0.48444444444444446,0.5037735849056604,0.24,0.33360193392425463,0.5254362698322848,0.49329666552079754,0.6299958626396359,0.5438775984746315,0.4489916768102115,0.5192340610058085,0.5132179688865582,0.6045440226807371,0.896631913254629,-0.5374374997777337,nan,0.3898259235194299,nan,nan,nan,nan,nan,-0.7331145065489357,0.889655641750992,,,25.0,0.0,0.0,0.0,24.0,254.0,0.0,1.0,3.0,3.0,0.0,6.0,134.0,80.0,0.0,11.0,42.0,0.0,0.0,9.0,10.0,9.0,2.0,21.0,3.95,0.0,0.0,0.0,0.0,0.0
62,"Lubbock, TX",Lubbock,TX,39.0,20.6,42.5,229573,263561.0,86838.0,3.035088325387503,Low,199556.0,0.32073703622040933,Medium Fast,2228,0.15754039497307,0.84245960502693,81,0.025656970450724337,0.5300668237178007,0.6361580576053321,0.5627400224905051,0.5254379523759573,0.5374554102259215,0.5207562136435748,0.5094339622641509,0.5254379523759573,0.5715407558968891,0.48252545959529164,0.5965692503176621,0.5552105215088136,0.45086646018378684,0.521547057040149,0.5272912791899153,0.5586610972498668,-0.16695334609483392,-0.20188154001213032,0.527097059045704,-0.13577543164703143,-0.5005579021790632,nan,-0.3792774791577985,nan,nan,0.016198415557939105,0.2105049296465471,,,58.0,6.0,0.0,6.0,36.0,126.0,0.0,0.0,0.0,0.0,0.0,3.0,65.0,57.0,0.0,5.0,34.0,0.0,0.0,2.0,0.0,4.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
63,"Garland, TX",Garland,TX,40.2,29.2,40.6,226876,251478.0,36377.0,6.913104434120461,Medium-Low,215991.0,0.16429851243801824,Medium Slow,2951,0.7644866147068791,0.23551338529312096,63,0.08112268741237595,0.6329386779508676,0.6124189605696674,0.6466580740195176,0.6086796861959606,0.6044399596367306,0.6157789803474794,0.675,0.6086796861959606,0.6321518959960198,0.635192423331329,0.6251580049839286,0.6311462247486913,0.6265165678825729,0.6356226127932332,0.6299994627843886,0.6403088080477248,-0.4535688201696937,2.203507820233569,0.35491763265407594,-0.4701978058402365,-0.12174557593089497,nan,-0.1156008366545791,nan,nan,0.788540242624175,-0.6137412563977578,,,35.0,0.0,0.0,0.0,4.0,51.0,0.0,0.0,1.0,0.0,0.0,1.0,53.0,35.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"Irving, TX",Irving,TX,44.8,28.7,42.0,216290,261915.0,36696.0,7.137426422498365,Medium-High,191611.0,0.3669100416990674,Medium Fast,1988,0.22484909456740443,0.7751509054325956,103,0.054174841944626115,0.6136534419688665,0.5327183007938211,0.680597649319929,0.5412494357979906,0.5790309769658459,0.5949751960313651,0.5856573705179283,0.5412494357979906,0.6141370869033048,0.6117220954141593,0.5960401989916865,0.6120562664278906,0.5745254133496632,0.6275538975404502,0.6039067649349871,0.6391452533221001,-0.32643006024019494,0.516960414362706,-0.42759992984739725,-0.32643006024019494,0.00736453187643793,nan,0.352622981438095,nan,nan,0.6996047759520769,-0.40393199714341566,62,46,12.0,3.0,0.0,3.0,15.0,27.0,4.0,0.0,0.0,0.0,2.0,3.0,73.0,77.0,0.0,10.0,6.0,6.0,0.0,1.0,2.0,6.0,2.0,37.0,0.0,0.0,0.0,11.0,0.0,0.0
65,"Oklahoma City, OK",Oklahoma City,OK,34.1,16.9,40.2,579999,702619.0,380768.0,1.845267984704597,Low,506132.0,0.3882129563038891,Medium Fast,18588,0.6082956746287927,0.39170432537120725,191,0.048817127489705014,0.42384783702639894,0.4883417408147834,0.5925398786186153,0.35458657722251286,0.4044943820224719,0.3794413764937763,0.3839458413926499,0.35458657722251286,0.4975533323278535,0.3483072432246802,0.5338589981447124,0.4513111975271712,0.3436723038672673,0.4320010490427485,0.42174663461772866,0.41731626096336943,1.1896170582695231,-0.14697555304861365,0.5705322141241029,1.059807368858658,-0.2563795519007772,nan,0.0852945758179191,nan,0.16983719302898392,0.060666094841322904,1.4529255911882708,362,148,81.0,2.0,0.0,2.0,17.0,127.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,132.0,0.0,22.0,71.0,0.0,0.0,5.0,24.0,5.0,3.0,153.0,11.0,111.0,0.0,5.0,0.0,0.0
66,"Tulsa, OK",Tulsa,OK,39.0,22.7,47.2,391906,419459.0,124821.0,3.3604842133935797,Low,393051.0,0.06718720980229029,Limited or Decline,8579.5,0.574159333294481,0.42584066670551896,139,0.06873442770046707,0.6451619869892089,0.713814908993576,0.6826019398010075,0.5464841906559698,0.6443331246086412,0.6524377856780091,0.7854785478547854,0.5464841906559698,0.6738989156268568,0.614417851430161,0.6921523039981705,0.6632951224994381,0.5940715374102641,0.6427202708736419,0.6512275267376881,0.628291531593016,-0.12662826523530946,-0.26857258917907934,0.21610237087100992,-0.0976287606162648,-0.25479970899390425,nan,-0.05136127470964147,nan,-0.09308691157778293,-0.1149896660589218,0.09091647597879304,245,164,118.0,14.0,0.0,14.0,21.0,107.0,22.0,0.0,2.0,0.0,0.0,3.0,79.0,195.0,3.0,8.0,50.0,0.0,3.0,3.0,35.0,5.0,9.0,78.7,63.0,43.0,0.0,8.0,0.0,0.0
67,"Denver, CO",Denver,CO,61.2,44.6,71.8,600158,744729.0,74662.0,9.974672524175618,High,554636.0,0.3427346944662806,Medium Fast,7028,0.3813318155947638,0.6186681844052362,318,0.09413088318019876,0.9228599784852949,0.8928441470090338,0.9271318580214033,0.8970379352156591,0.9316939890710383,0.9181417972477911,0.7664233576642335,0.8970379352156591,0.9167386260169765,0.9279689429160306,0.9368627492329267,0.9166324045668743,0.9278561238901625,0.9203477552919284,0.9234956878920463,0.9240337501655347,-0.26038095301878694,0.12279636027604002,-0.25325223915735184,-0.17497662070902187,-0.10753243163143011,nan,-0.2189435263035392,nan,nan,-0.03825366864232527,-0.048243706087294336,249,354,144.0,28.0,0.0,28.0,9.0,352.0,0.0,0.0,10.0,0.0,30.0,14.0,132.0,274.0,8.0,30.0,93.0,0.0,0.0,8.0,20.0,32.0,2.0,328.0,0.0,0.0,0.0,13.0,5.5,0.0
68,"Colorado Springs, CO",Colorado Springs,CO,36.1,18.8,44.7,416427,495511.0,121849.0,4.066598823133551,Medium-Low,360798.0,0.37337512957388896,Medium Fast,14785,0.8338180588434224,0.1661819411565776,247,0.12133870610345592,0.7824618740936086,0.8007917059377946,0.7891691294245042,0.7597254004576659,0.7977489768076398,0.7889965717299579,0.7843839541547278,0.7597254004576659,0.7884500975679406,0.7792204445675597,0.7967117317882435,0.7904440048356962,0.7711853585869334,0.7885150497828924,0.784105126990747,0.7661241140038219,0.26699859922439795,0.039107680291246005,-0.48848810495514083,-0.5691755957301938,-0.42111783968308736,nan,-0.5150844365177625,nan,nan,1.577349938961944,-0.6014820138316259,249,155,60.0,31.0,0.0,31.0,9.0,137.0,6.0,1.0,9.0,314.0,0.0,8.0,122.0,137.0,0.0,7.0,64.0,0.0,60.0,10.0,5.0,5.0,3.0,157.0,123.0,2.0,0.0,3.0,0.0,0.0
69,"Aurora, CO",Aurora,CO,42.5,35.2,53.3,325078,398994.0,103640.0,3.8498070243149365,Low,275936.0,0.4459657311840427,Medium Fast,10409,0.7560764722836008,0.24392352771639927,116,0.10043419529139329,0.8747519841269841,0.8777490621092122,0.9065238234190671,0.8703290574456218,0.8901808785529716,0.8767632146980573,0.9210031347962383,0.8703290574456218,0.8922814658014366,0.8495839768820687,0.8772132966661842,0.8778504225801308,0.8457943011362525,0.8841402275800532,0.8798420524455692,0.8336121187061852,-0.2778460023118742,0.49143152234641496,-0.2546240743875884,-0.2333983618043154,0.23041780426687497,nan,0.0059415093773049765,nan,nan,0.678521105073044,-0.42843305722070024,74,64,49.0,18.0,9.0,9.0,17.0,66.0,0.0,1.0,3.0,89.0,0.0,3.0,56.0,84.0,3.0,6.0,13.0,0.0,26.0,2.0,3.0,10.0,2.0,170.0,32.0,24.0,0.0,5.0,0.0,0.0
70,"Charlotte/Mecklenburg, NC",Charlotte,NC,26.4,27.4,31.3,731424,1164981.0,331778.0,3.5113268510871727,Low,695454.0,0.6751373922646214,Very Fast,22655.77,0.4517582055255681,0.548241794474432,287,0.06828593215945603,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,253,178.0,59.0,12.0,47.0,39.0,340.0,35.0,1.52,37.0,816.0,0.0,11.0,22.0,419.0,2.0,31.0,117.0,1.0,4.0,2.0,11.0,9.0,13.0,238.60000000000002,65.8,8.0,2.0,1.0,0.0,0.0
71,"Raleigh, NC",Raleigh,NC,31.3,29.4,39.3,403892,480766.0,95006.0,5.06037513420205,Medium-Low,276579.0,0.7382592315396325,Very Fast,11804,0.8158251440189767,0.18417485598102337,167,0.1242447845399238,0.4776294496699018,0.4668961999489926,0.4353637335119703,0.4162025987801644,0.4463902787705504,0.46504829026363875,0.48314606741573035,0.4162025987801644,0.45274971048700063,0.4997387310580017,0.5123960752003596,0.4597982421094686,0.47567511181233785,0.4546843655298988,0.4804340655716076,0.5078729738670195,-0.2212962019204664,0.06424712168504909,0.19780665414836607,-0.4414511143927349,-0.2424466644143326,nan,-0.009411837271979806,nan,nan,-0.01214022502373091,-0.11398203585508482,80,255,110.0,38.0,2.0,36.0,32.0,243.0,4.0,0.0,1.0,0.0,25.0,8.0,226.0,117.0,1.0,37.0,103.0,1.0,0.0,1.0,6.0,8.0,3.0,130.5,106.5,31.0,4.0,4.0,0.0,0.0
72,"Greensboro, NC",Greensboro,NC,29.4,,32.2,269666,303787.0,83927.0,3.6196575595457956,Low,223299.0,0.36044944222768577,Medium Fast,8794.9,0.7104242231293135,0.2895757768706864,540,0.10479225994018611,0.6357639327688613,0.6739882817822591,0.6510180398776242,0.5950223089793641,0.6490618485059069,0.6210602366115777,0.65,0.5950223089793641,0.659279329071947,0.600287751556392,0.6819589624467673,0.6163296368775821,0.5631707730697483,0.6494815204832317,0.6312971968049996,0.6313220838417091,0.068150417516881,0.9497007843183389,0.28244739006775,-0.30399480356463315,0.08694653016228604,nan,-0.24588466535416786,nan,nan,1.077217900278928,0.017442261660910896,61,,83.0,18.0,5.0,13.0,21.0,46.0,0.0,0.0,5.0,86.0,0.0,3.0,37.0,108.0,0.0,12.0,37.0,6.0,0.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
73,"Durham, NC",Durham,NC,30.3,27.5,37.6,228330,296031.0,73779.0,4.012401902980523,Medium-Low,187183.0,0.5815057991377423,Very Fast,2755,0.9023593466424682,0.09764065335753176,70,0.03734124886485314,0.4976032915471691,0.5319688165515115,0.53558541744432,0.4192747745020885,0.5209217707701638,0.475570583262891,0.5753424657534246,0.4192747745020885,0.518805800211295,0.4634195830723492,0.5594958526338468,0.47753381508245324,0.4253731343283582,0.5148616971401782,0.4934104718881564,0.4842191207613604,0.143848021885423,-0.027773508323240437,0.143848021885423,-0.1362328170303242,-0.35762642261102806,nan,-0.23678546209280404,nan,nan,3.1522776234299323,0.24261859799823693,,,76.0,20.0,0.0,20.0,9.0,115.0,0.0,0.0,1.0,2.0,0.0,4.0,68.0,57.0,0.0,10.0,84.0,0.0,0.0,1.0,4.0,5.0,4.0,33.0,0.0,0.0,0.0,4.0,0.0,0.0
